Source,Target,Weight
State Street Corporation,CTVA,1974259873
"Aristotle Capital Management, LLC",CTVA,1589050092
Capital World Investors,CTVA,1356042143
"FMR, LLC",CTVA,867884664
"Geode Capital Management, LLC",CTVA,762383887
Northern Trust Corporation,CTVA,669038406
Invesco Ltd.,CTVA,570203887
Nuveen Asset Management,CTVA,538640809
"Vanguard Group, Inc. (The)",CSGP,2127482046
Blackrock Inc.,CSGP,1218078424
"Principal Financial Group, Inc.",CSGP,1218261164
BAMCO Inc.,CSGP,1162138583
Price (T.Rowe) Associates Inc,CSGP,982312874
Janus Henderson Group PLC,CSGP,885457400
Baillie Gifford and Company,CSGP,794867047
"Sands Capital Management, LLC",CSGP,633464696
Massachusetts Financial Services Co.,CSGP,602038871
"Franklin Resources, Inc.",CSGP,539648087
"Vanguard Group, Inc. (The)",COST,18470776373
Blackrock Inc.,COST,14858865738
State Street Corporation,COST,9011357377
"FMR, LLC",COST,4953922912
Bank of America Corporation,COST,4019151496
"Geode Capital Management, LLC",COST,3808885608
Morgan Stanley,COST,3374100046
Northern Trust Corporation,COST,2416323669
"AllianceBernstein, L.P.",COST,2326053198
Bank Of New York Mellon Corporation,COST,2163952075
"Vanguard Group, Inc. (The)",CTRA,2320252617
Blackrock Inc.,CTRA,1646852842
Capital World Investors,CTRA,1646774827
"Wellington Management Group, LLP",CTRA,1598311755
State Street Corporation,CTRA,1369660761
"Aristotle Capital Management, LLC",CTRA,1109455161
"Geode Capital Management, LLC",CTRA,440957007
JP Morgan Chase & Company,CTRA,393365250
Schroder Investment Management Group,CTRA,371317353
Victory Capital Management Inc.,CTRA,323062819
"Vanguard Group, Inc. (The)",CCI,9528104579
Blackrock Inc.,CCI,5595464236
State Street Corporation,CCI,3472574827
Capital International Investors,CCI,3076758067
Bank of America Corporation,CCI,2305723821
Capital Research Global Investors,CCI,2193295653
"FMR, LLC",CCI,2066688542
Morgan Stanley,CCI,1894249237
Capital World Investors,CCI,1871693221
Deutsche Bank Aktiengesellschaft,CCI,1735953347
"Vanguard Group, Inc. (The)",CSX,5387255058
Blackrock Inc.,CSX,4079529079
Capital World Investors,CSX,3185477895
State Street Corporation,CSX,2791509266
Capital Research Global Investors,CSX,1635780861
Soroban Capital Partners LP,CSX,1528564572
Price (T.Rowe) Associates Inc,CSX,1281048754
"Geode Capital Management, LLC",CSX,1117245554
Royal Bank of Canada,CSX,830316908
Bank of America Corporation,CSX,736226469
"Vanguard Group, Inc. (The)",CMI,2511450034
Blackrock Inc.,CMI,2364074810
State Street Corporation,CMI,1251632825
Price (T.Rowe) Associates Inc,CMI,726939708
Capital Research Global Investors,CMI,612692562
"Geode Capital Management, LLC",CMI,542669538
"Charles Schwab Investment Management, Inc.",CMI,487015148
Lsv Asset Management,CMI,401908202
Northern Trust Corporation,CMI,393672533
"First Eagle Investment Management, LLC",CMI,386789445
"Vanguard Group, Inc. (The)",CVS,10582543765
Blackrock Inc.,CVS,8754339912
Capital World Investors,CVS,5451748207
State Street Corporation,CVS,5437688164
Morgan Stanley,CVS,2722244704
Capital International Investors,CVS,2433161071
JP Morgan Chase & Company,CVS,2420115562
"Geode Capital Management, LLC",CVS,2148612403
Bank of America Corporation,CVS,1690570673
Invesco Ltd.,CVS,1552683234
"Vanguard Group, Inc. (The)",DHI,2317636164
Capital World Investors,DHI,2171063109
Blackrock Inc.,DHI,2012990335
State Street Corporation,DHI,925551979
Egerton Capital (UK) LLP,DHI,504186770
Capital Research Global Investors,DHI,488474919
"Geode Capital Management, LLC",DHI,423969984
"Franklin Resources, Inc.",DHI,418465491
Dimensional Fund Advisors LP,DHI,396518144
"Sanders Capital, LLC",DHI,350823150
"Vanguard Group, Inc. (The)",DHR,13359142597
Blackrock Inc.,DHR,12056401683
State Street Corporation,DHR,6768988816
Price (T.Rowe) Associates Inc,DHR,6703917838
"FMR, LLC",DHR,6467351988
"Wellington Management Group, LLP",DHR,4808928091
Morgan Stanley,DHR,4295772428
Massachusetts Financial Services Co.,DHR,3041683777
"Geode Capital Management, LLC",DHR,2814113577
Bank of America Corporation,DHR,2794856451
Capital International Investors,DRI,1792877114
Capital World Investors,DRI,1769593624
"Vanguard Group, Inc. (The)",DRI,1619043008
Blackrock Inc.,DRI,941771510
State Street Corporation,DRI,564916528
"Wellington Management Group, LLP",DRI,292317238
"Geode Capital Management, LLC",DRI,276378290
Newport Trust Co,DRI,244781612
"Raymond James & Associates, Inc.",DRI,191391853
"Ameriprise Financial, Inc.",DRI,167418957
"Berkshire Hathaway, Inc",DVA,2886201777
"Vanguard Group, Inc. (The)",DVA,549185509
Blackrock Inc.,DVA,437909815
State Street Corporation,DVA,221129779
Lsv Asset Management,DVA,175823804
"Gates Capital Management, Inc.",DVA,143379794
Dimensional Fund Advisors LP,DVA,108181002
Invesco Ltd.,DVA,103383162
Norges Bank Investment Management,DVA,137335167
"Geode Capital Management, LLC",DVA,93297248
"Vanguard Group, Inc. (The)",DE,6554130942
Blackrock Inc.,DE,5638396603
JP Morgan Chase & Company,DE,4169460317
State Street Corporation,DE,3269352022
"Wellington Management Group, LLP",DE,1845723750
"FMR, LLC",DE,1529801168
Janus Henderson Group PLC,DE,1397397095
Bank of America Corporation,DE,1387937737
"Geode Capital Management, LLC",DE,1385219747
Morgan Stanley,DE,1193095966
"Vanguard Group, Inc. (The)",DAL,2011645338
Blackrock Inc.,DAL,1085503437
Capital World Investors,DAL,641513186
Primecap Management Company,DAL,617117665
State Street Corporation,DAL,612281848
"FMR, LLC",DAL,409409573
"Geode Capital Management, LLC",DAL,351616190
Morgan Stanley,DAL,350524745
"Neuberger Berman Group, LLC",DAL,345218050
JP Morgan Chase & Company,DAL,326150778
Blackrock Inc.,XRAY,909373555
"Vanguard Group, Inc. (The)",XRAY,873063478
Artisan Partners Limited Partnership,XRAY,455869279
Price (T.Rowe) Associates Inc,XRAY,356871132
"First Eagle Investment Management, LLC",XRAY,336257924
State Street Corporation,XRAY,334409432
"Nuance Investments, LLC",XRAY,323404306
Janus Henderson Group PLC,XRAY,314398238
"Wellington Management Group, LLP",XRAY,224516815
Morgan Stanley,XRAY,186400480
"Vanguard Group, Inc. (The)",DVN,4162813594
Blackrock Inc.,DVN,2998958785
State Street Corporation,DVN,2199569112
"FMR, LLC",DVN,1267536558
GQG Partners LLC,DVN,821598066
"Geode Capital Management, LLC",DVN,695133787
Invesco Ltd.,DVN,642213803
Morgan Stanley,DVN,600008196
Bank of America Corporation,DVN,587057621
Boston Partners,DVN,570978893
"Vanguard Group, Inc. (The)",DXCM,3217524866
Blackrock Inc.,DXCM,2491873061
Baillie Gifford and Company,DXCM,1348948207
"Sands Capital Management, LLC",DXCM,1334251934
State Street Corporation,DXCM,1209982028
"FMR, LLC",DXCM,771868752
JP Morgan Chase & Company,DXCM,773878453
Jennison Associates LLC,DXCM,638245927
Nuveen Asset Management,DXCM,617844979
"Geode Capital Management, LLC",DXCM,582990205
"Vanguard Group, Inc. (The)",FANG,2566905241
Blackrock Inc.,FANG,1560272071
State Street Corporation,FANG,1304624612
"FMR, LLC",FANG,1052413452
Blackstone Inc,FANG,961108633
JP Morgan Chase & Company,FANG,915245362
"Geode Capital Management, LLC",FANG,426618215
Morgan Stanley,FANG,418274615
Boston Partners,FANG,404341396
Invesco Ltd.,FANG,332030959
"Vanguard Group, Inc. (The)",DLR,5835120026
Blackrock Inc.,DLR,3378010936
State Street Corporation,DLR,2463799359
Cohen & Steers Inc.,DLR,2225189087
Apg Asset Management US Inc.,DLR,1307168427
Capital International Investors,DLR,1248937335
Capital World Investors,DLR,1035429953
"Geode Capital Management, LLC",DLR,762023682
Capital Research Global Investors,DLR,724444908
"FMR, LLC",DLR,628529360
"Vanguard Group, Inc. (The)",DFS,3346774398
Blackrock Inc.,DFS,1954177627
Capital International Investors,DFS,1467300500
State Street Corporation,DFS,1143294484
Capital World Investors,DFS,1092640651
"FMR, LLC",DFS,942201893
"Geode Capital Management, LLC",DFS,592388777
Macquarie Group Limited,DFS,461530349
Boston Partners,DFS,422919577
Morgan Stanley,DFS,352452842
Dodge & Cox Inc,DISH,712243179
"Vanguard Group, Inc. (The)",DISH,498372956
Blackrock Inc.,DISH,324778856
Eagle Capital Management LLC,DISH,303332836
Palestra Capital Management LLC,DISH,214193106
State Street Corporation,DISH,194593483
Edgepoint Investment Group Inc.,DISH,139605884
Invesco Ltd.,DISH,110890397
Price (T.Rowe) Associates Inc,DISH,94037739
"Geode Capital Management, LLC",DISH,93694685
"Vanguard Group, Inc. (The)",DIS,13387612592
Blackrock Inc.,DIS,11049874755
State Street Corporation,DIS,6732612342
Morgan Stanley,DIS,3928604585
State Farm Mutual Automobile Insurance Co,DIS,3209278284
"Geode Capital Management, LLC",DIS,2877759078
Price (T.Rowe) Associates Inc,DIS,2358539065
Northern Trust Corporation,DIS,2261655779
Bank Of New York Mellon Corporation,DIS,2047776625
Bank of America Corporation,DIS,1852327184
Price (T.Rowe) Associates Inc,DG,4640762830
Blackrock Inc.,DG,4580850926
"Vanguard Group, Inc. (The)",DG,4435568363
Capital World Investors,DG,3182718165
Capital International Investors,DG,2225003921
State Street Corporation,DG,2216100585
"FMR, LLC",DG,1718731152
"Geode Capital Management, LLC",DG,999063274
JP Morgan Chase & Company,DG,941525511
Morgan Stanley,DG,839724362
"Vanguard Group, Inc. (The)",DLTR,3762032603
Blackrock Inc.,DLTR,2635796137
Mantle Ridge LP,DLTR,1771318006
"FMR, LLC",DLTR,1623907751
Capital World Investors,DLTR,1600778832
State Street Corporation,DLTR,1377724286
Nomura Holdings Inc.,DLTR,1194450920
Edgepoint Investment Group Inc.,DLTR,809322036
"Geode Capital Management, LLC",DLTR,711672193
Capital International Investors,DLTR,572414295
"Vanguard Group, Inc. (The)",D,5681308370
Blackrock Inc.,D,4461598716
State Street Corporation,D,3800906476
Price (T.Rowe) Associates Inc,D,2235284480
Capital Research Global Investors,D,1743925835
Massachusetts Financial Services Co.,D,1688270092
"Franklin Resources, Inc.",D,1437229094
"Wellington Management Group, LLP",D,1271531643
"FMR, LLC",D,1142638652
"Geode Capital Management, LLC",D,1079751724
"Vanguard Group, Inc. (The)",DPZ,1511118061
Blackrock Inc.,DPZ,1327621939
"FMR, LLC",DPZ,941140296
"Pershing Square Capital Management, L.P.",DPZ,803313899
Price (T.Rowe) Associates Inc,DPZ,621921821
State Street Corporation,DPZ,598908276
"Principal Financial Group, Inc.",DPZ,545450197
Capital World Investors,DPZ,490740368
"Geode Capital Management, LLC",DPZ,321425013
"Renaissance Technologies, LLC",DPZ,308621091
"Vanguard Group, Inc. (The)",DOV,2085800408
JP Morgan Chase & Company,DOV,1624321936
Blackrock Inc.,DOV,1232258037
State Street Corporation,DOV,805095170
Bank of America Corporation,DOV,576641603
Boston Partners,DOV,528731485
"Franklin Resources, Inc.",DOV,425430053
Macquarie Group Limited,DOV,402119628
"Geode Capital Management, LLC",DOV,339085032
Wells Fargo & Company,DOV,303899927
"Vanguard Group, Inc. (The)",DOW,3307632102
Blackrock Inc.,DOW,2400345540
State Street Corporation,DOW,1966521996
Capital World Investors,DOW,1387404328
Morgan Stanley,DOW,733534220
"Geode Capital Management, LLC",DOW,676331502
Capital International Investors,DOW,564668467
Northern Trust Corporation,DOW,445487817
Norges Bank Investment Management,DOW,429397342
Dimensional Fund Advisors LP,DOW,391519498
"Vanguard Group, Inc. (The)",DTE,2882369909
Blackrock Inc.,DTE,2167564171
Capital Research Global Investors,DTE,2112147043
State Street Corporation,DTE,1256787470
Capital World Investors,DTE,557809385
Price (T.Rowe) Associates Inc,DTE,484917108
"Geode Capital Management, LLC",DTE,474567210
"Ameriprise Financial, Inc.",DTE,350647537
"Wellington Management Group, LLP",DTE,337314451
Invesco Ltd.,DTE,262499757
"Vanguard Group, Inc. (The)",DUK,7452660158
Blackrock Inc.,DUK,5768026759
State Street Corporation,DUK,4753552348
"Wellington Management Group, LLP",DUK,3775752870
Massachusetts Financial Services Co.,DUK,2202099725
"Geode Capital Management, LLC",DUK,1486029340
Morgan Stanley,DUK,1006445239
"Franklin Resources, Inc.",DUK,981063164
"FMR, LLC",DUK,921080884
Northern Trust Corporation,DUK,909319411
"Vanguard Group, Inc. (The)",DD,2291139602
Blackrock Inc.,DD,2015206523
Massachusetts Financial Services Co.,DD,1269296911
State Street Corporation,DD,1179999471
"FMR, LLC",DD,900560739
Boston Partners,DD,665732515
"Geode Capital Management, LLC",DD,558628077
Nuveen Asset Management,DD,427676928
Macquarie Group Limited,DD,404610227
Bank of America Corporation,DD,389076951
"Vanguard Group, Inc. (The)",DXC,825669254
"Franklin Resources, Inc.",DXC,519520977
Blackrock Inc.,DXC,480377400
Invesco Ltd.,DXC,412006315
Victory Capital Management Inc.,DXC,248210560
State Street Corporation,DXC,242777462
"Glenview Capital Management, Llc",DXC,240167468
Morgan Stanley,DXC,205268109
"ClearBridge Investments, LLC",DXC,149915199
Dimensional Fund Advisors LP,DXC,148680521
"Vanguard Group, Inc. (The)",EMN,1422768500
JP Morgan Chase & Company,EMN,897902251
Blackrock Inc.,EMN,800396411
State Street Corporation,EMN,506287359
Putnam Investments LLC,EMN,310787869
Morgan Stanley,EMN,300501214
"Geode Capital Management, LLC",EMN,228564204
"FMR, LLC",EMN,200762705
Ninety One UK Ltd,EMN,196439920
Lsv Asset Management,EMN,193206495
"Vanguard Group, Inc. (The)",ETN,4428261368
Blackrock Inc.,ETN,3506130983
JP Morgan Chase & Company,ETN,3200192112
State Street Corporation,ETN,1973906748
Massachusetts Financial Services Co.,ETN,1732645851
Bank of America Corporation,ETN,1722909344
Morgan Stanley,ETN,1030413624
"Wellington Management Group, LLP",ETN,1004079194
Norges Bank Investment Management,ETN,1235313730
"Geode Capital Management, LLC",ETN,844631164
"Vanguard Group, Inc. (The)",EBAY,2218430168
Blackrock Inc.,EBAY,1842736323
State Street Corporation,EBAY,1019731822
"Comprehensive Financial Management, LLC",EBAY,695764406
"FMR, LLC",EBAY,681182823
"Ameriprise Financial, Inc.",EBAY,613265724
Nordea Investment Management AB,EBAY,459564567
"Geode Capital Management, LLC",EBAY,478421520
"Independent Franchise Partners, LLP",EBAY,452571827
Lindsell Train Limited,EBAY,318290919
"Vanguard Group, Inc. (The)",ECL,3368173381
Blackrock Inc.,ECL,3105770563
State Street Corporation,ECL,1775081858
"Wellington Management Group, LLP",ECL,1746561838
"Aristotle Capital Management, LLC",ECL,855294920
Bank Of New York Mellon Corporation,ECL,706869469
Bill & Melinda Gates Foundation Trust,ECL,671381815
"Geode Capital Management, LLC",ECL,672141389
Pictet Asset Management SA,ECL,552101880
Bank of America Corporation,ECL,529025425
"Vanguard Group, Inc. (The)",EIX,2874468589
Blackrock Inc.,EIX,2275493648
State Street Corporation,EIX,1815214209
Capital International Investors,EIX,1334277045
Capital Research Global Investors,EIX,1070548601
Pzena Investment Management Llc,EIX,882790052
"Franklin Resources, Inc.",EIX,740126241
"FMR, LLC",EIX,609156833
"Geode Capital Management, LLC",EIX,492128873
Macquarie Group Limited,EIX,493094928
Blackrock Inc.,EW,5300382021
"Vanguard Group, Inc. (The)",EW,4783676940
State Street Corporation,EW,2557743086
Capital International Investors,EW,2130386090
Bank Of New York Mellon Corporation,EW,2056890458
"AllianceBernstein, L.P.",EW,1555870662
Brown Advisory Inc.,EW,1456947774
"Wellington Management Group, LLP",EW,1348275024
"Geode Capital Management, LLC",EW,1115516384
"Sands Capital Management, LLC",EW,1113673825
Blackrock Inc.,EA,3009065302
"Vanguard Group, Inc. (The)",EA,2675979938
Public Investment Fund,EA,1947840822
State Street Corporation,EA,1597916422
"Wellington Management Group, LLP",EA,1507317463
Massachusetts Financial Services Co.,EA,1398215052
"Geode Capital Management, LLC",EA,704817716
Invesco Ltd.,EA,685142653
"Ameriprise Financial, Inc.",EA,633558430
Amundi,EA,614135670
Blackrock Inc.,ELV,10506813798
"Vanguard Group, Inc. (The)",ELV,10158508305
State Street Corporation,ELV,5229048673
"Wellington Management Group, LLP",ELV,4752366283
Price (T.Rowe) Associates Inc,ELV,4563159213
"FMR, LLC",ELV,3159924670
Capital International Investors,ELV,3099321309
Bank of America Corporation,ELV,2248037642
"Geode Capital Management, LLC",ELV,1993937073
"Sanders Capital, LLC",ELV,1968005154
"Lilly Endowment, Inc",LLY,33555261463
"Vanguard Group, Inc. (The)",LLY,23212055953
Blackrock Inc.,LLY,20670216933
"PNC Financial Services Group, Inc.",LLY,16889815746
State Street Corporation,LLY,10833830298
"FMR, LLC",LLY,10517912907
Capital World Investors,LLY,9319228112
Primecap Management Company,LLY,9220610964
"Wellington Management Group, LLP",LLY,7599061512
Price (T.Rowe) Associates Inc,LLY,6622935323
"Vanguard Group, Inc. (The)",EMR,4332837700
Blackrock Inc.,EMR,3075432632
State Street Corporation,EMR,2017582607
Bank of America Corporation,EMR,1443978148
Wells Fargo & Company,EMR,836661454
"Geode Capital Management, LLC",EMR,801241019
Morgan Stanley,EMR,734482063
Capital World Investors,EMR,663628388
Northern Trust Corporation,EMR,653238078
"American Century Companies, Inc.",EMR,633858714
"Vanguard Group, Inc. (The)",ENPH,2935619658
Blackrock Inc.,ENPH,2823701257
State Street Corporation,ENPH,1003614234
Allianz Asset Management GmbH,ENPH,720683750
Invesco Ltd.,ENPH,688756543
"Geode Capital Management, LLC",ENPH,520326900
JP Morgan Chase & Company,ENPH,365036323
"FMR, LLC",ENPH,356583602
Brown Advisory Inc.,ENPH,273771189
Coatue Management LLC,ENPH,266813617
"Vanguard Group, Inc. (The)",ETR,2730885498
Blackrock Inc.,ETR,2139751116
State Street Corporation,ETR,1431019560
Capital International Investors,ETR,1223282903
Bank of America Corporation,ETR,1060370769
"FMR, LLC",ETR,888920750
Invesco Ltd.,ETR,606669465
JP Morgan Chase & Company,ETR,486688153
"Franklin Resources, Inc.",ETR,471737559
"Geode Capital Management, LLC",ETR,443891036
"Vanguard Group, Inc. (The)",EOG,5851938726
Blackrock Inc.,EOG,5046159762
State Street Corporation,EOG,3911272800
Capital Research Global Investors,EOG,3585129012
Capital International Investors,EOG,3479701663
JP Morgan Chase & Company,EOG,2295801760
"FMR, LLC",EOG,2019614733
Price (T.Rowe) Associates Inc,EOG,1703638052
"Ameriprise Financial, Inc.",EOG,1206612109
"Wellington Management Group, LLP",EOG,1169818029
Capital Research Global Investors,EPAM,2005519811
"Vanguard Group, Inc. (The)",EPAM,1856484349
Blackrock Inc.,EPAM,1165466379
"WCM Investment Management, LLC",EPAM,1301926725
"AllianceBernstein, L.P.",EPAM,796840747
JP Morgan Chase & Company,EPAM,777267944
Capital World Investors,EPAM,740540125
State Street Corporation,EPAM,641956850
Lone Pine Capital Llc,EPAM,373392814
Invesco Ltd.,EPAM,346990254
Blackrock Inc.,EQT,2110822631
"Vanguard Group, Inc. (The)",EQT,1092033332
"FMR, LLC",EQT,811889260
Capital World Investors,EQT,692935402
Bank Of New York Mellon Corporation,EQT,497187465
State Street Corporation,EQT,456978509
"ClearBridge Investments, LLC",EQT,368842716
"Third Point, LLC",EQT,258860000
Bank of America Corporation,EQT,230023133
Soroban Capital Partners LP,EQT,222534150
"Vanguard Group, Inc. (The)",EFX,2411968901
Massachusetts Financial Services Co.,EFX,2293246162
Blackrock Inc.,EFX,1627448627
Morgan Stanley,EFX,866432947
"FMR, LLC",EFX,850060977
Generation Investment Management LLP,EFX,850636551
State Street Corporation,EFX,850547355
Price (T.Rowe) Associates Inc,EFX,760412505
Capital International Investors,EFX,523642218
Invesco Ltd.,EFX,488891536
"Vanguard Group, Inc. (The)",EQIX,7838055436
Blackrock Inc.,EQIX,5929635722
State Street Corporation,EQIX,3947400469
Capital International Investors,EQIX,1500899773
Cohen & Steers Inc.,EQIX,1449606878
"Geode Capital Management, LLC",EQIX,1256762310
"FMR, LLC",EQIX,1192708116
Price (T.Rowe) Associates Inc,EQIX,1135690606
Apg Asset Management US Inc.,EQIX,1005964636
"Principal Financial Group, Inc.",EQIX,970082145
"Vanguard Group, Inc. (The)",EQR,4132534635
Blackrock Inc.,EQR,2661502643
Norges Bank Investment Management,EQR,2729360992
State Street Corporation,EQR,1729336643
Price (T.Rowe) Associates Inc,EQR,1329585655
Bank of America Corporation,EQR,1019279497
Apg Asset Management US Inc.,EQR,875287767
"Geode Capital Management, LLC",EQR,543597267
Macquarie Group Limited,EQR,521506397
Resolution Capital Ltd,EQR,476373014
"Vanguard Group, Inc. (The)",ESS,2785642961
Blackrock Inc.,ESS,1681002232
State Street Corporation,ESS,1360710275
"Principal Financial Group, Inc.",ESS,786654245
Cohen & Steers Inc.,ESS,753015429
Norges Bank Investment Management,ESS,721012344
"Geode Capital Management, LLC",ESS,385943518
Resolution Capital Ltd,ESS,366330530
"FMR, LLC",ESS,326882792
Price (T.Rowe) Associates Inc,ESS,284183178
"Vanguard Group, Inc. (The)",EL,4563928336
Blackrock Inc.,EL,4145300517
State Street Corporation,EL,2494506147
"FMR, LLC",EL,2385145756
Edgewood Management Company,EL,1904226928
Jennison Associates LLC,EL,1676544817
Fundsmith LLP,EL,1515616552
Morgan Stanley,EL,1516433788
Royal Bank of Canada,EL,1051198302
"Geode Capital Management, LLC",EL,991613672
"Vanguard Group, Inc. (The)",ETSY,1006631716
Blackrock Inc.,ETSY,851881150
"Wellington Management Group, LLP",ETSY,680448734
"AllianceBernstein, L.P.",ETSY,457978625
State Street Corporation,ETSY,360523084
Flossbach von Storch AG,ETSY,284864941
Goldman Sachs Group Inc,ETSY,227918762
Capital International Investors,ETSY,220813878
"ClearBridge Investments, LLC",ETSY,184095183
"Geode Capital Management, LLC",ETSY,183375602
"Vanguard Group, Inc. (The)",RE,1359695457
Blackrock Inc.,RE,785502357
Boston Partners,RE,674413659
State Street Corporation,RE,525154750
"Franklin Resources, Inc.",RE,462693511
"Champlain Investment Partners, LLC",RE,341012471
Massachusetts Financial Services Co.,RE,297901203
Victory Capital Management Inc.,RE,255559864
"Altrinsic Global Advisors, LLC",RE,222352009
"Geode Capital Management, LLC",RE,219903483
"Vanguard Group, Inc. (The)",EVRG,1923665134
Capital International Investors,EVRG,1235430319
Blackrock Inc.,EVRG,1109654876
State Street Corporation,EVRG,942929968
"FMR, LLC",EVRG,450927024
"Geode Capital Management, LLC",EVRG,301001251
"Franklin Resources, Inc.",EVRG,285015784
Invesco Ltd.,EVRG,259504861
Pictet Asset Management SA,EVRG,238315185
Mitsubishi UFJ Trust & Banking Corp,EVRG,228918141
"Vanguard Group, Inc. (The)",ES,3677973565
Blackrock Inc.,ES,3113680853
State Street Corporation,ES,2084990579
Wells Fargo & Company,ES,621435484
Magellan Asset Management Ltd,ES,609173481
"Geode Capital Management, LLC",ES,599286943
"Charles Schwab Investment Management, Inc.",ES,539525094
Legal & General Group PLC,ES,417200286
Deutsche Bank Aktiengesellschaft,ES,391869253
Caisse De Depot Et Placement Du Quebec,ES,374341982
"Wellington Management Group, LLP",EXC,4092219841
"Vanguard Group, Inc. (The)",EXC,3987929366
Blackrock Inc.,EXC,3486769204
State Street Corporation,EXC,2652824192
Capital International Investors,EXC,1502569236
Bank Of New York Mellon Corporation,EXC,1475237288
"FMR, LLC",EXC,1430585894
GQG Partners LLC,EXC,1202552921
Morgan Stanley,EXC,1074319120
JP Morgan Chase & Company,EXC,914655763
"Vanguard Group, Inc. (The)",EXPE,1577308243
Blackrock Inc.,EXPE,1284240395
Price (T.Rowe) Associates Inc,EXPE,682106405
"D1 Capital Partners, LP",EXPE,583644226
State Street Corporation,EXPE,539610011
Artisan Partners Limited Partnership,EXPE,494723558
Par Capital Management Inc,EXPE,398286000
"Geode Capital Management, LLC",EXPE,284132396
Goldman Sachs Group Inc,EXPE,282519053
Bank Of New York Mellon Corporation,EXPE,254328559
Blackrock Inc.,EXPD,2093094914
"Vanguard Group, Inc. (The)",EXPD,1917899356
State Street Corporation,EXPD,911279165
"Loomis Sayles & Company, LP",EXPD,719154708
Bank of America Corporation,EXPD,376979373
"Geode Capital Management, LLC",EXPD,349674687
"Wellington Management Group, LLP",EXPD,259922019
"First Eagle Investment Management, LLC",EXPD,252936573
Northern Trust Corporation,EXPD,235788096
Boston Partners,EXPD,222119624
"Vanguard Group, Inc. (The)",EXR,3794501762
Blackrock Inc.,EXR,2421624856
State Street Corporation,EXR,1524660862
Cohen & Steers Inc.,EXR,1106864174
"Principal Financial Group, Inc.",EXR,875321157
Massachusetts Financial Services Co.,EXR,618895709
"Geode Capital Management, LLC",EXR,536420512
Apg Asset Management US Inc.,EXR,479426910
"FMR, LLC",EXR,443802931
"Ameriprise Financial, Inc.",EXR,423679096
"Vanguard Group, Inc. (The)",XOM,31543636896
Blackrock Inc.,XOM,24615288702
State Street Corporation,XOM,20087210469
"FMR, LLC",XOM,11573747147
"Geode Capital Management, LLC",XOM,6341327101
Norges Bank Investment Management,XOM,3184424035
Bank Of New York Mellon Corporation,XOM,4404351727
Bank of America Corporation,XOM,4276054443
GQG Partners LLC,XOM,4067695577
Northern Trust Corporation,XOM,4084684926
"Vanguard Group, Inc. (The)",FFIV,1056643101
"Wellington Management Group, LLP",FFIV,918837162
Blackrock Inc.,FFIV,842048882
"Hotchkis & Wiley Capital Management, LLC",FFIV,595399059
State Street Corporation,FFIV,425894250
"American Century Companies, Inc.",FFIV,310752311
JP Morgan Chase & Company,FFIV,241995265
Invesco Ltd.,FFIV,233514247
"Ameriprise Financial, Inc.",FFIV,218388539
"Renaissance Technologies, LLC",FFIV,193528568
"Vanguard Group, Inc. (The)",FDS,1717870728
Blackrock Inc.,FDS,1306851927
BAMCO Inc.,FDS,1028448628
"Loomis Sayles & Company, LP",FDS,737357596
State Street Corporation,FDS,723654598
Wells Fargo & Company,FDS,631172820
Ninety One UK Ltd,FDS,468898894
Kayne Anderson Rudnick Investment Management LLC,FDS,438211361
"Geode Capital Management, LLC",FDS,336106104
Invesco Ltd.,FDS,269165157
"Vanguard Group, Inc. (The)",FAST,3442227160
Blackrock Inc.,FAST,2287641258
State Street Corporation,FAST,1366804008
Bank Of New York Mellon Corporation,FAST,1353407477
"Geode Capital Management, LLC",FAST,647233716
"Charles Schwab Investment Management, Inc.",FAST,491869347
"Principal Financial Group, Inc.",FAST,448454123
Bank of America Corporation,FAST,406243269
"Select Equity Group, Inc.",FAST,405482388
Morgan Stanley,FAST,358462640
"Vanguard Group, Inc. (The)",FRT,1171416238
State Street Corporation,FRT,810355710
Blackrock Inc.,FRT,700301048
Capital Research Global Investors,FRT,396661734
JP Morgan Chase & Company,FRT,349275317
Resolution Capital Ltd,FRT,254920004
"Geode Capital Management, LLC",FRT,150996245
Invesco Ltd.,FRT,145678749
"ProShares Advisors, LLC",FRT,132707320
Dimensional Fund Advisors LP,FRT,107910181
"Vanguard Group, Inc. (The)",FDX,4220279650
Dodge & Cox Inc,FDX,3950795141
Blackrock Inc.,FDX,3830446364
Primecap Management Company,FDX,3045529642
State Street Corporation,FDX,2150442288
Price (T.Rowe) Associates Inc,FDX,1137724864
JP Morgan Chase & Company,FDX,973468935
"FMR, LLC",FDX,929536391
"Geode Capital Management, LLC",FDX,933153322
Morgan Stanley,FDX,651691951
"Vanguard Group, Inc. (The)",FITB,2847770688
Blackrock Inc.,FITB,1857763958
Capital World Investors,FITB,1655749939
State Street Corporation,FITB,1042237526
Bank of America Corporation,FITB,988353038
Price (T.Rowe) Associates Inc,FITB,971280878
Boston Partners,FITB,565474862
JP Morgan Chase & Company,FITB,539843102
Invesco Ltd.,FITB,527966980
"Geode Capital Management, LLC",FITB,469416292
"Vanguard Group, Inc. (The)",FRC,2837937328
Blackrock Inc.,FRC,1824125962
Capital International Investors,FRC,1671420037
State Street Corporation,FRC,1347537175
"Alecta Pensionsforsakring, Omsesidigt",FRC,903497645
Royal Bank of Canada,FRC,818813744
"Select Equity Group, Inc.",FRC,797706469
